StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
CS22958-052,I.U.Roederer MNRAS 445 2970 2014,02 12 48.22,-56 29 08.3,6090,3.75,-2.42,-2.42,0.07,0.13,0.24,,,,,,,,,,,1,0.18,,,,,,,,,,,,,,,,,
CS22958-052,I.U.Roederer AJ 147 136 2014,02 12 48.22,-56 29 08.3,6090,3.75,-2.42,-2.62,0.22,0.33,0.24,0.08,0.17,0.67,0.15,<2.98,,,,,,1.2,0.18,<2.35,,<2.36,,<3.01,,,,,,,,,,,,
CS22958-065,I.U.Roederer AJ 147 136 2014,02 02 53.61,-53 38 40.7,6020,3.75,-2.24,-2.29,0.21,0.22,0.25,-0.22,0.18,0.41,0.15,<2.37,,,,,,<0.68,,<1.88,,<1.81,,<2.29,,,,,,,,,,,,
CS22958-074,I.U.Roederer AJ 147 136 2014,02 10 34.19,-53 22 43.1,5800,3.6,-2.62,-2.67,0.21,0.14,0.24,-0.14,0.21,0.24,0.17,,,,,,,<0.89,,<2,,<1.96,,<2.43,,,,,,,,,,,,
CS22958-083,I.U.Roederer AJ 147 136 2014,02 15 42.70,-53 59 56.0,4900,1.75,-3.04,-3.05,0.14,-0.14,0.25,-0.84,0.18,0.11,0.17,<1.98,,,,,,<-0.11,,<1.2,,<1.12,,<1.74,,,,278 43 09.10,-58 59 16.18,826.328,-5388,-9067.62,13.652,-89.02,-149.814,174.8
CS22959-074,I.U.Roederer AJ 147 136 2014,18 51 47.57,-64 28 00.3,4940,1.9,-2.49,-2.6,0.15,-0.13,0.25,-0.7,0.17,-0.18,0.16,<1.78,,,,,,<-0.14,,<1.31,,<0.92,,<1.22,,,,,,,,,,,,
CS22959-139,I.U.Roederer AJ 147 136 2014,18 55 53.77,-63 06 17.9,6090,3.75,-2.45,-2.67,0.21,0.01,0.23,,,0.43,0.19,<2.98,,,,,,<0.99,,<2.4,,<2.19,,<2.63,,,,,,,,,,,,
CS22960-010,I.U.Roederer AJ 147 136 2014,22 08 25.30,-44 53 56.0,5280,4,-3.03,-3.02,0.1,-0.93,0.16,<-0.55,,<0.91,,<2.76,,,,,,<0.96,,<2.16,,<2,,<2.58,,,,353 15 34.87,-53 04 29.15,437.313,-51.684,-585.963,28.16,-3.328,-37.733,47.2
CS22960-029,I.U.Roederer AJ 147 136 2014,22 11 35.54,-44 25 22.4,5890,3.6,-2.77,-3.05,0.22,-0.45,0.15,<0.64,,<0.65,,<3.01,,,,,,<1.18,,<2.35,,<2.41,,<2.88,,,,,,,,,,,,
CS22960-048,I.U.Roederer AJ 147 136 2014,22 17 01.57,-45 12 17.0,4770,1.4,-3.78,-3.91,0.15,-2,0.16,<-0.63,,<0.25,,<2.84,,,,,,<0.55,,<1.76,,<1.68,,<2.21,,,,,,,,,,,,
